;means;sd;sr
370;1.24095233;3.988556627;0.311128171
371;0.948555944;3.306591066;0.286868235
372;0.881624806;3.072860155;0.286906908
373;1.308204071;4.598479034;0.284486253
374;1.054706349;3.495060903;0.301770521
375;1.495797731;4.988128621;0.299871524
376;1.332247582;4.725958876;0.281899952
377;1.11923674;3.560259919;0.31436939
378;1.168562907;4.365117057;0.267704827
379;0.951554055;3.451846277;0.275665247
380;0.899550258;3.681501547;0.244343306
381;1.141913176;4.068134176;0.280697029
382;0.953643603;3.076272884;0.309999678
383;0.959815246;2.82296894;0.340002057
384;0.964708525;3.308586293;0.29157726
385;1.246207249;3.645803896;0.341819605
386;1.162394813;3.657713621;0.317792734
387;1.01831573;3.380930251;0.301193948
388;1.013466082;3.227283855;0.314030661
389;1.223891906;3.932149943;0.311252603
390;1.643060968;5.382235561;0.305274816
391;1.65748102;5.121276274;0.323646086
392;0.973581144;3.143686628;0.309694082
393;1.018574409;3.476157934;0.293017299
394;0.979869744;3.097718231;0.316319843
395;0.950614129;3.951651452;0.240561229
396;1.228394697;4.105813058;0.299184274
397;0.894212788;2.72455602;0.328204956
398;1.127040131;3.060723049;0.36822676
399;2.000762359;6.53306331;0.306251794
400;0.989333919;3.902442541;0.253516588
401;1.082484606;3.192923706;0.339026142
402;1.258842357;4.069795078;0.30931345
403;1.370351504;4.628941522;0.296039926
404;1.005758679;3.160570071;0.318220655
405;0.885672383;3.020272648;0.293242527
406;1.007843824;4.813412261;0.209382403
407;1.491832622;4.708159996;0.316861072
408;1.993039686;7.428419717;0.268299283
409;1.240723532;4.168199496;0.297664143
410;0.916323606;3.397773007;0.269683585
411;2.172151248;7.164253943;0.303192944
412;0.987758244;2.919394218;0.338343564
413;1.037464541;3.338697308;0.310739323
414;1.525418514;5.345581192;0.285360648
415;0.90521485;3.129816705;0.289222959
416;1.554735101;5.029243396;0.309138966
417;0.930705875;3.356919992;0.277249943
418;1.20379555;4.053880858;0.296948922
419;1.32406054;4.614099892;0.286959661
420;0.884412914;3.126288204;0.282895516
421;1.3831506;4.245345154;0.325804039
422;1.06412451;3.558449373;0.299041632
423;2.685247972;9.889225805;0.271532679
424;0.743564784;3.087363667;0.240841334
425;1.430138069;4.999988249;0.286028286
426;0.834977499;3.677141433;0.227072446
427;1.207232225;4.314665452;0.279797411
428;1.058870519;3.615424274;0.292875867
429;1.590963528;5.013070866;0.317363064
430;1.07008948;3.310010625;0.323288835
431;1.583443971;5.047837489;0.313687589
432;1.034248147;3.001947595;0.344525717
433;1.338868623;4.685465183;0.285749348
434;0.987741806;3.214095695;0.307315618
435;0.942044482;3.481638971;0.270575005
436;1.66941398;5.448014288;0.306426138
437;2.239251676;8.118401084;0.275824224
438;1.228448038;3.87568359;0.316962933
439;1.006789629;4.614064081;0.218200184
440;1.274429847;3.59384058;0.35461502
441;1.01373314;3.578343392;0.283296774
442;0.960130988;3.315930163;0.289551028
443;1.216358265;3.875861278;0.313829154
444;1.567059867;4.76274692;0.329024383
445;0.844535278;2.758910417;0.306111889
446;1.188807273;3.82875578;0.310494412
447;2.285094214;7.705017129;0.296572243
448;1.44004599;4.573445013;0.314871172
449;1.267295832;4.309724313;0.294054965
450;1.001555241;3.145086256;0.318450802
451;0.938119725;3.585621273;0.261633802
452;1.206937128;3.574261561;0.33767454
