Date;interros;elektroenergetiki;almaznaya_osen;promagrofond;sberbank;hantimansiask;tnk-vladimir;raiffaisen;bolshoi;telekom-souz;stroikompleks;tvoya_opora;evrazia_plus;dobrodetel;nationalnyi;initiativa;socrazvitie;doverie;socium;mosenergo;regionfond;transneft;oboronnopromofond;perviy_promalyans;uralosibirskij;pensionnaykassa;ugkmkperspektiva;mejregionalniy;kitfinance;gazfond;blagosostoyanie;lukoil_garant;surgutneftegaz;soglasie;neftegarant;atomfond
31/10/2012;2.151666889;3.012171464;0.879675138;2.018066735;2.256924028;2.512154554;2.991360354;2.646943801;3.474201693;4.250350261;2.971578778;1.905898086;2.998805755;2.624885724;1.715073545;3.466680542;1.645514446;3.117848422;3.740815904;3.472951726;2.018359717;1.530555672;1.574122492;1.952648514;1.46679499;3.434829839;2.00466438;3.861304278;2.486620442;0;0;0;0;0;0;0
28/09/2012;4.261294857;3.940422145;0.874256906;3.519637166;3.561391455;2.340153683;12.47718607;3.734161844;12.28484944;4.500201863;17.86375877;1.810086583;18.37854676;2.737397373;2.83911104;19.28781157;2.124272538;19.42224985;4.871342331;4.31464267;3.25193774;2.869951754;1.686438877;2.09055038;2.563614221;3.650067695;3.007880384;4.107102897;4.374629683;0;0;0;0;0;0;0
31/08/2012;-1.770879734;-1.473995364;0.323052674;-1.470702533;-1.234478704;-0.409892044;-8.139103638;-1.212403358;-7.852778034;-1.221901071;-12.52419074;0.109288691;-12.96054607;-0.496377366;-0.806836742;-13.55970694;-0.383368307;-13.7266855;-1.681840007;-1.35386776;-0.995635581;-0.855569501;0.123586511;-0.070148167;-0.59648966;-0.797509531;-0.887688593;-1.00715551;-1.80822902;0;0;0;0;0;0;0
31/07/2012;-1.16994137;-1.437379775;0.334137234;-1.243766105;-0.8330916;0.06139573;-5.531663002;-0.73806619;-5.446272997;-1.148430071;-8.511241909;0.485772981;-8.877871234;-0.451147402;-0.533286245;-9.353803598;-0.391883699;-9.359702771;-1.34976086;-1.127484437;-0.656412144;-0.358047888;0.172884833;-0.00051586;-0.277577358;-0.6753772;-0.569926993;-0.904571;-1.335963037;0;0;0;0;0;0;0
29/06/2012;1.787553981;2.878814566;1.141101498;2.231812076;1.879129566;1.832822334;2.489732599;1.980674866;2.789461634;3.035781981;2.623319004;1.198303845;2.591205681;2.117479663;1.435970985;3.074764199;1.904225572;2.746595347;2.722090059;2.627589737;1.632671934;1.150583082;1.493658629;1.50132567;1.273869998;2.324816531;1.728005146;2.742300484;2.081758328;0;0;0;0;0;0;0
31/05/2012;-1.598976939;-2.800452902;-0.5307602;-1.650318041;-1.888665395;-2.675624513;-1.90600685;-2.375279636;-2.502763398;-4.134802602;-1.321379849;-1.739366731;-1.243191363;-2.40039399;-1.184272142;-1.810279017;-1.324756664;-1.340334003;-3.492251979;-3.235967984;-1.540516577;-1.009486463;-1.235047806;-1.563957104;-0.868346004;-3.187609845;-1.62626028;-3.701390463;-2.03378968;0;0;0;0;0;0;0
27/04/2012;3.010776142;2.938543199;0.91929927;2.719984923;2.540122377;1.525527814;8.381709887;2.550809179;8.224709642;2.998545419;11.97710444;1.197248718;12.321795;1.984477261;2.107512666;12.9264489;1.794779222;13.00564732;3.275401526;2.955443083;2.345351929;2.050386796;1.376603405;1.557700689;1.930723344;2.437117951;2.198770632;2.748014882;3.098471206;0;0;0;0;0;0;0
30/03/2012;1.009744028;0.715182315;0.929702165;1.01628155;0.844596664;0.411090213;2.0610417;0.688940378;1.840529096;0.243843293;2.977464842;0.573096443;3.039967866;0.564563187;0.924107831;3.045134952;0.924569177;3.186136666;0.499923982;0.522594008;0.882744499;0.956598318;0.825449189;0.698970792;0.984207807;0.370890449;0.849316677;0.320399173;0.911278146;0;0;0;0;0;0;0
29/02/2012;-1.044519164;-3.420472429;0.766258121;-1.122647706;-1.565783465;-2.144485267;0.173116112;-2.336021778;-1.086391175;-6.152346416;2.347282537;-1.105914203;2.441815324;-2.798685154;-0.605459726;1.666770373;-0.772316473;2.57666651;-4.744184925;-4.322923299;-1.172676763;-0.004237946;-0.709055599;-1.455038041;-0.055147033;-4.443659499;-1.155994715;-5.342990237;-1.882644166;0;0;0;0;0;0;0
31/01/2012;1.057374141;1.345604343;0.940892007;1.132747996;1.117847631;1.264093514;0.954226386;1.188239007;1.078527983;1.512811268;0.766078649;1.067272066;0.755776355;1.244444117;1.009146491;0.844329059;1.075338201;0.740851456;1.380335708;1.35033924;1.054449725;0.949296941;1.017084277;1.075369947;0.953541817;1.34417173;1.085651972;1.429498228;1.14228646;0;0;0;0;0;0;0
30/12/2011;1.142632661;1.077725526;0.848647833;0.372172712;0.918697262;0.893890231;-4.681211457;1.368664833;-8.682706985;1.747006904;-10.33941469;0.806348097;-0.993185276;-2.822166558;-0.137755783;0;0.262564837;0.223994629;1.696202833;-0.042281371;0.453124893;1.224850346;-0.177083536;0.834784706;-0.626502766;0.429431513;0.112861214;1.313613651;0.353468316;0;0;0;0;0;0;0
30/11/2011;4.280309389;5.15730742;1.897083533;5.984692465;5.615006803;5.047371477;-2.39212857;5.846217421;-4.494322317;8.227471025;-5.217196095;1.512368107;0.573932404;-0.74352428;0.270702612;0;2.092362624;0.339951685;13.52081729;1.516722124;4.655965807;4.668328047;1.198877525;3.702514522;-0.162087031;0.04328123;1.949382746;4.895689483;5.511305095;0;0;0;0;0;0;0
31/10/2011;2.163753215;3.388425338;0.467444725;5.131340539;4.050900453;3.817832142;9.622323264;3.510929962;16.40957572;4.594755008;19.74500839;1.277330039;2.661488997;6.801605261;1.712869613;0;2.89637586;1.178671367;9.192261261;2.232918868;4.618425142;2.919811559;1.84819304;3.086061665;2.526199003;0.302726041;2.955215941;2.639767906;5.116651541;0;0;0;0;0;0;0
30/09/2011;-1.563075039;-1.102985261;-1.754082127;-0.475107904;-1.044129852;-1.557974008;4.707162397;-1.416988006;8.96828028;-1.576482704;10.86829265;-1.177126726;0.178971033;2.63586855;-0.326569239;0;-0.268861948;-0.555732209;-1.063142288;-0.378018403;-0.339244828;-1.165601462;-0.448382332;-0.807750705;0.117028544;-2.21613069;-0.411812758;-1.385374979;-0.463273865;0;0;0;0;0;0;0
31/08/2011;0.592394856;0.703908158;0.374479857;1.589630084;0.882650508;0.407438026;2.756358503;0.514437093;4.93030878;0.887495094;5.635891106;-0.200785349;1.796581779;1.991680262;0.563748606;0;0.408913205;0.246474975;2.010459307;0.932634551;0.833059787;0.415848254;1.171009816;0.338702799;0.613449624;-0.514365074;0.462266309;0.50823918;1.260509886;0;0;0;0;0;0;0
29/07/2011;-0.417641892;-0.382452717;0.035210876;0.009924733;-0.342684586;-0.360217011;5.4260295;-0.698814373;9.104538487;-1.351450655;10.63067506;0.375977219;1.661116479;3.574980234;1.135221745;0;0.841243621;0.970993698;-1.982517236;0.977871476;0.264478877;-0.416254344;1.040433928;0.070424634;1.731848657;0.582333961;0.854783985;-0.518176702;0.122477679;0;0;0;0;0;0;0
30/06/2011;0.874417585;0.679364583;0.707086714;-0.785539536;0.32038125;0.487672932;-8.039622744;1.109649098;-14.7389573;1.3730806;-17.4052743;0.872142791;-2.42326745;-5.082505579;-0.578131679;0;-0.237097575;-0.020906871;0.409695105;-0.819067039;-0.262731679;1.096355582;-1.075154318;0.593994383;-1.45250007;0.403153786;-0.431040545;1.100610687;-0.652538778;0;0;0;0;0;0;0
31/05/2011;0.497644413;0.640806374;0.484469669;1.419493848;0.749501322;0.250453938;4.584333008;0.3414263;7.71243432;0.347611252;8.860881756;0.276271536;2.247273365;3.224424683;1.16148013;0;0.990945032;0.907181643;0.865429416;1.387382392;1.013569491;0.410530194;1.567695319;0.581117336;1.441649956;-0.154814706;0.958845174;0.452575807;1.210777513;0;0;0;0;0;0;0
29/04/2011;0.121720831;0.660584091;0.169361114;2.646636044;1.076525939;0.500363831;14.183803;-0.025067437;24.38812654;-0.448936578;28.59558447;0.454256752;4.886697348;9.522562029;2.593557802;0;2.307040448;1.868334192;0.876775208;2.817911144;2.23242167;0.164844206;3.026409924;0.999090684;3.868814732;0.149661579;2.379447038;0.028591275;2.522587116;0;0;0;0;0;0;0
31/03/2011;-0.174821657;-0.529508584;0.421431046;-1.587229833;-0.866736792;-0.620796041;-3.112492319;-0.496225105;-6.215467595;-1.037957617;-7.465281266;0.636455048;-0.908850482;-1.959795276;0.237429644;0;-0.147595795;0.499794686;-3.127831809;-0.305987588;-0.895960469;-0.13421129;-0.357774936;-0.136322193;-0.166042899;0.739427161;-0.207171133;-0.225790917;-1.372604183;0;0;0;0;0;0;0
28/02/2011;0.451109913;0.350911113;0.801508708;0.759310102;0.353619133;0.060086996;3.341411964;0.058606885;5.25845935;-0.205513256;5.864743845;0.52001823;2.072259763;2.46001872;1.289256338;0;0.85762287;1.109591641;-0.620350203;1.321455042;0.544039538;0.242209944;1.545615661;0.419952085;1.441928236;0.480544788;0.86788074;0.294403147;0.621712954;0;0;0;0;0;0;0
31/01/2011;-0.898212814;-0.696233886;-0.210903722;0.685728195;-0.546798638;-1.137911311;12.17976062;-1.511478908;20.93231014;-2.494411776;24.40668707;0.06933377;4.109441592;7.985881429;2.200865287;0;1.522133549;1.672903792;-2.987240457;2.161086979;0.654650073;-0.995488606;2.453232628;-0.065776439;3.339866312;-0.156832486;1.501351728;-1.097199692;0.628892168;0;0;0;0;0;0;0
30/12/2010;-1.613862942;0.221405666;-8.327278436;0.089752558;-1.123151358;-4.271058661;-28.82330633;-1.886052647;-34.30770983;0.106438388;-25.30882714;-0.528263695;-0.359409453;-0.328665942;0.327452373;0;0.426640895;0.378549513;-0.90256887;-3.181650402;-0.037676311;0.038050536;-0.829041448;0.082202237;-1.902942508;-1.168677363;0.274485182;-2.516466948;0.225842236;0;0;0;0;0;0;0
30/11/2010;-0.198361009;0.345141851;-0.324347891;0.453619934;-0.21163117;-12.75466885;19.72525091;-2.835707253;23.33983922;0.328520532;17.35790641;1.03602894;1.108227969;0.846544276;0.305182769;0;0.372702684;0.3637796;0.734607727;2.550858415;0.340860648;0.587292996;1.053905206;0.237572449;1.838439648;1.251018087;0.311151323;-3.738088842;0.224931268;0;0;0;0;0;0;0
29/10/2010;1.289028158;0.447888749;4.220333533;0.441154707;0.571898423;2.06337385;12.91899664;1.449432227;15.21226383;0.326780991;11.42859338;1.085679625;1.141636075;1.000623392;0.763334205;0;0.639312852;0.575898212;0.319559048;1.638680878;0.250852603;0.613816669;0.786553794;0.464833342;1.499957587;1.278839881;0.460694948;2.019726031;0.395733008;0;0;0;0;0;0;0
30/09/2010;0.21896943;0.672823629;-1.189736252;0.655430991;-0.38871748;-0.956683976;-5.027276089;0.337533376;-6.192851673;0.14290611;-4.333587453;0.875767203;0.895680243;0.91201976;0.750850685;0;1.150325537;1.089849751;-0.446118952;-0.494586722;0.135663487;0.525723066;0.26019504;0.464542657;0.58140026;0.582498961;0.765144096;0.652490792;0.437397072;0;0;0;0;0;0;0
31/08/2010;-0.575776847;0.183432114;-2.406448525;0.146604837;-0.80551736;-6.226833034;-0.107262698;-1.521358941;-0.184011485;-0.283990913;-0.018315895;0.391530493;-0.176103712;0.352064911;0.205007175;0;0.343965109;0.429324563;-0.478362303;-0.371100888;-0.082370584;0.11484313;-0.116878888;0.007474623;0.428028637;0.461852767;0.297253297;-1.750757899;0.125996728;0;0;0;0;0;0;0
30/07/2010;-0.175745927;0.220394825;-1.12722806;0.111079303;-0.463105967;-1.007665466;-3.242704962;-0.113781387;-3.852714675;-0.48109212;-2.68753715;0.230417122;-1.207586957;0.20939783;0.17320821;0;0.195698997;0.458363102;-0.528149871;-1.010243197;0.041183296;-0.008133465;-0.444398342;0.075803044;0.315149554;0.607319283;0.434371061;0.123557547;0.32104689;0;0;0;0;0;0;0
30/06/2010;2.253071267;1.005193543;6.759095047;0.865851751;0.844163301;8.239054029;12.71989248;3.807934563;14.93984999;-0.162422843;11.52261797;1.673676044;-0.406640926;1.598649895;1.17644239;0;1.125919108;1.463323504;-0.001183341;0.875552462;0.593333956;0.680462154;0.509155012;0.882408528;2.526206391;2.60438652;1.327751228;5.4378887;1.093724424;0;0;0;0;0;0;0
31/05/2010;-1.948909833;-0.038331674;-7.504040715;-0.17157887;-2.325196388;-15.06705785;-8.275483816;-4.236650716;-9.960308189;-0.424368358;-7.258281231;0.328555923;0.743745779;0.418681812;0.616644847;0;0.580538419;0.411755563;-1.629602701;-1.510688384;-0.737671659;-0.015441522;-0.529774996;-0.303629185;-0.354764055;-0.042031456;0.03743373;-5.01713732;-0.189092813;0;0;0;0;0;0;0
30/04/2010;-2.147905866;-0.13514633;-8.05607433;-0.222538982;-1.725945252;-11.57314382;-14.01494461;-3.806898284;-16.596865;-0.645563385;-12.25900481;-0.473149891;-1.412561788;-0.447776708;-0.292519128;0;-0.127732234;0.063176568;-0.996814824;-2.250026719;-0.30277821;-0.334763621;-0.962852262;-0.381555331;-0.931854504;-0.532651161;0.022173941;-4.776375437;-0.097312041;0;0;0;0;0;0;0
31/03/2010;6.207206071;1.663479644;20.80733144;1.59048095;3.402249062;27.24233113;38.4432468;10.6683997;45.32418536;0.540353855;34.20722177;3.245370971;1.458226938;3.048783006;2.122777845;0;1.931173677;2.150199823;1.19086463;4.339184459;1.181795939;1.534359914;2.055278721;1.773138952;5.101036899;4.602305373;1.937437434;14.43343686;1.675623239;0;0;0;0;0;0;0
26/02/2010;0.312498724;0.855305352;-2.635980792;0.637571104;-0.560989256;7.046047246;-25.79433219;2.305747644;-30.89816722;-0.0097215;-22.48017931;0.566462769;0.131205444;0.811755441;1.243122523;0;1.483927802;1.469366139;-1.385000513;-3.176848754;0.043273893;0.410018773;-0.590566462;0.638266417;-0.631267763;0.155753069;1.079933615;3.394655162;0.752761958;0;0;0;0;0;0;0
29/01/2010;3.511809466;1.361667482;7.666684716;1.196713207;2.644266074;29.88742848;-20.48730468;9.080995052;-24.58717836;1.063131463;-17.77747775;0.76967124;0.365286799;0.974557647;1.519768368;0;1.510110362;1.527376787;0.49361852;-1.507965519;1.143076642;1.03997956;0.354366768;1.534927846;-0.131687113;0.587491446;1.477913659;11.63860792;1.464326301;0;0;0;0;0;0;0
31/12/2009;0.109739924;0.576847198;1.170193138;0.299616167;1.586523158;-0.311646833;2.457109305;3.491122574;-2.505772824;1.32046525;7.197644904;0.953934329;-0.959267206;0.325126531;1.99923994;0;-0.280212185;-0.002382333;-1.808835994;0.144498263;0.575421308;0.51359199;0.777483463;-0.450175738;11.84392948;1.259213402;-1.60168859;0;0;0;0;0;0;0;0;0
30/11/2009;5.794602649;2.398689172;15.70548686;0.790891255;10.24769943;4.386961799;19.31716406;13.47018122;4.762942381;1.51414017;35.52124835;1.108955475;-0.232283228;1.448985123;4.341470581;0;0.131335017;0.481591778;-0.71624681;0.526867062;0.889434032;0.831113567;1.442190435;1.13544963;46.98052696;1.8114589;-0.681521704;0;0;0;0;0;0;0;0;0
30/10/2009;1.754852101;6.42330804;42.01494101;2.103816234;30.01317102;11.0279372;33.61523705;35.18084132;-12.34557015;2.462908356;82.56481517;1.910838241;1.522744601;-3.334679589;10.27738514;0;-0.004977609;1.625812216;1.696417569;0.993992286;2.232674809;1.780306808;-0.834038425;-0.393216884;124.401167;2.640040073;1.460597216;0;0;0;0;0;0;0;0;0
30/09/2009;5.947489943;3.985326959;22.1377923;1.937561693;15.01852159;6.827297198;22.79930815;18.01403082;2.756887146;2.236397115;44.78199086;1.776201855;1.371870373;0.757282111;5.861626273;0;0.779558763;1.641988203;1.376985646;1.384490805;1.910611194;1.684100101;1.396985891;1.851823239;61.40874245;2.629637463;1.171416385;0;0;0;0;0;0;0;0;0
31/08/2009;6.219260924;2.01045322;9.562877931;1.508954637;5.568395712;4.013443699;12.57041696;6.006233693;8.571979324;1.170545022;17.58500168;0.890446305;1.648678588;1.220444206;2.004069405;0;0.662194239;1.413701658;2.149342871;1.099648614;1.236411703;1.162150732;1.229921568;2.54922163;19.11306127;1.749650544;1.742992486;0;0;0;0;0;0;0;0;0
31/07/2009;-2.882707221;3.074535362;8.188057213;2.314052446;7.721870683;3.021383983;0.953320809;8.064970048;-10.12797257;2.279663311;11.87846891;2.285362528;2.442503991;-0.785679856;3.833965088;0;1.831625541;2.243296009;2.571975446;2.011466564;2.447117734;2.190111875;0.53885465;0.403836572;23.87663981;2.014453925;2.593986396;0;0;0;0;0;0;0;0;0
30/06/2009;4.692343522;0.925197722;1.602470739;1.061262534;0.783437492;0.750735046;6.904911013;2.190585918;6.154778868;1.683125011;7.669905531;0.826693484;0.033089407;0.913861359;1.395108434;0;-0.49968093;0.786470733;-0.350236633;0.583249116;0.950175081;0.781978888;1.493654857;1.42909253;6.548959294;2.103022168;-0.757922938;0;0;0;0;0;0;0;0;0
29/05/2009;-3.361627636;2.420397475;3.745469507;1.757482351;4.809526723;1.571037628;-1.824681105;5.624559573;-9.227487713;2.150801008;5.438481501;2.406426089;1.589592249;1.110207657;3.375033575;0;2.49017359;1.79740141;1.100876308;2.054695558;2.100434349;2.005570008;1.488242981;0.111789333;14.56986258;1.49569927;1.552978941;0;0;0;0;0;0;0;0;0
30/04/2009;-1.080489771;4.9156378;18.26503279;3.307952796;14.5758509;6.468690587;9.290309773;15.30431702;-9.897212038;2.955010663;29.14575013;3.018558432;3.742451694;-0.861398793;6.090789048;0;2.552056288;3.18363869;4.291079851;2.752884104;3.374978275;3.003997377;0.700293648;1.354579435;48.15209639;2.891162529;4.221579208;0;0;0;0;0;0;0;0;0
31/03/2009;11.89839726;8.050619903;40.62289187;4.317720476;27.3247937;14.00849827;40.92492495;31.45457647;8.919273291;4.090509566;77.02962909;3.833097431;4.413932994;3.716219888;10.41224876;0;3.725379336;4.156086749;4.89869667;3.880394084;4.157814768;3.817571829;3.762062177;5.022616424;103.4851422;4.586425843;4.654420378;0;0;0;0;0;0;0;0;0
